XLS ID,XLS Product,XLS Supplier,Stockroom ID,Stockroom Product,Supplier To Use
ADFT4,Antech Free T4 ED Add-on,IAL,ADFT4,Antech Free T4 ED Add-on,IAL
ADDFRU,Antech Fructosamine (Add-On),IAL,ADDFRU,Antech Fructosamine (Add-On),IAL
S16345,Antech Fructosamine Level,IAL,S16345,Antech Fructosamine Level,IAL
T145,Antech GGT,IAL,T145,Antech GGT,IAL
T380,Antech Hemotropic Mycoplasma,IAL,T380,Antech Hemotropic Mycoplasma,IAL
HISTO2,Antech Histopath w/ Written Rep. 2 Sites,"IDEXX, IAL, HSI",HISTO2,Antech Histopath w/ Written Rep. 2 Sites,"IDEXX, IAL, HSI"
HISTO,"Antech Histopathology, Full Written Rprt",IAL,HISTO,"Antech Histopathology, Full Written Rprt",IAL
AIRC,Antech Imaging Radiologist Consult,IAL,AIRC,Antech Imaging Radiologist Consult,IAL
AUIC,Antech Imaging Ultrasound Consult,IAL,AUIC,Antech Imaging Ultrasound Consult,IAL
T991,Antech Keyscreen GI Parasite PCR Panel,"IDEXX, IAL, HSI",T991,Antech Keyscreen GI Parasite PCR Panel,"IDEXX, IAL, HSI"
S16510,Antech Lepto Titer,"IDEXX, IAL, HSI",S16510,Antech Lepto Titer,"IDEXX, IAL, HSI"
ALC,Antech Liver Chemistry,IAL,ALC,Antech Liver Chemistry,IAL
